metric,precision,recall,f1-score,support,model
0,0.9103448275862069,0.88,0.8949152542372881,150.0,MLP Classifier
1,0.856,0.8916666666666667,0.8734693877551021,120.0,MLP Classifier
accuracy,0.8851851851851852,0.8851851851851852,0.8851851851851852,0.8851851851851852,MLP Classifier
macro avg,0.8831724137931034,0.8858333333333334,0.884192320996195,270.0,MLP Classifier
weighted avg,0.8861915708812261,0.8851851851851852,0.8853837580229832,270.0,MLP Classifier
0,0.8767123287671232,0.8533333333333334,0.8648648648648649,150.0,SVM Classifier
1,0.8225806451612904,0.85,0.8360655737704918,120.0,SVM Classifier
accuracy,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,SVM Classifier
macro avg,0.8496464869642069,0.8516666666666667,0.8504652193176784,270.0,SVM Classifier
weighted avg,0.8526538027200864,0.8518518518518519,0.8520651799340324,270.0,SVM Classifier
